School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
Mark West Union Elementary,Santa Rosa,Sonoma County,,90%,6%,3%,1%,8%,8%,10%,8%,6%,27%,28%,10%,223,200,14,7,2,206,206,201,206,209,100%,3,"38.517048,-122.746377",624000,"Mark West Elementary,San Miguel Elementary,John B. Riebli Elementary"
Sacramento City Unified,Sacramento,Sacramento County,,89%,10%,0%,2%,9%,8%,10%,4%,3%,34%,67%,16%,3523,3122,339,7,55,3193,3245,3172,3394,3409,98%,55,"38.526611,-121.454419",633840,"St. Hope Public School 7,Sol Aureus College Preparatory,Aspire Capitol Heights Academy,The Language Academy Of Sacramento,California Montessori Project - Capitol Campus,Yav Pem Suab Academy - Preparing For The Future Charter,Capitol Collegiate Academy,A. M. Winn Elementary,Bowling Green Elementary,Bret Harte Elementary,Caleb Greenwood,Camellia Elementary,Caroline Wenzel Elementary,David Lubin Elementary,Earl Warren Elementary,Edward Kemble Elementary,Elder Creek Elementary,Ethel I. Baker Elementary,Ethel Phillips Elementary,H. W. Harkness Elementary,Hollywood Park Elementary,Hubert H. Bancroft Elementary,Isador Cohen Elementary,Leataata Floyd Elementary,John Bidwell Elementary,John Cabrillo Elementary,John D. Sloat Elementary,Alice Birney Waldorf-Inspired K-8,Mark Twain Elementary,Nicholas Elementary,O. W. Erlewine Elementary,Oak Ridge Elementary,Pacific Elementary,Parkway Elementary,Peter Burnett Elementary,Phoebe A. Hearst Elementary,Pony Express Elementary,Crocker/Riverside Elementary,Sequoia Elementary,Sutterville Elementary,Tahoe Elementary,Theodore Judah Elementary,William Land Elementary,Woodbine Elementary,Rosa Parks Middle,Leonardo Da Vinci,John H. Still,Susan B. Anthony Elementary,James Marshall Elementary,Genevieve Didion,Golden Empire Elementary,Abraham Lincoln Elementary,Martin Luther King, Jr.,Father Keith B. Kenny Elementary,Matsuyama Elementary"
Windsor Unified,Santa Rosa,Sonoma County,,91%,3%,0%,6%,8%,8%,8%,7%,7%,9%,39%,4%,454,414,15,0,25,418,416,416,422,424,100%,3,"38.549193,-122.805055",600034,"Village Charter,Cali Calmecac Language Academy,Mattie Washburn Elementary"
Guerneville Elementary,Guerneville,Sonoma County,,90%,6%,0%,3%,3%,6%,6%,3%,3%,18%,54%,9%,31,28,2,0,1,30,29,29,30,30,100%,1,"38.550149,-122.990398",616320,Guerneville Elementary
Winters Joint Unified,Winters,Yolo County,,93%,2%,0%,5%,5%,5%,6%,5%,5%,14%,60%,7%,128,119,3,0,6,122,122,120,122,121,100%,1,"38.568866,-122.079781",642930,Winters Elementary
Latrobe,Shingle Springs,El Dorado County,,85%,15%,0%,0%,15%,15%,15%,15%,8%,11%,7%,5%,13,11,2,0,0,11,11,11,11,12,100%,1,"38.569159,-120.982956",621180,Latrobe Elementary
Sacramento County Office of Education,Sacramento,Sacramento County,,,,,,,,,,,,75%,,,,,,,,,,,,0%,1,"38.579099,-121.494812",691027,Fortune
Howell Mountain Elementary,Angwin,Napa County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,8%,45%,4%,10,10,0,0,0,10,10,10,10,10,100%,1,"38.580137,-122.447821",617760,Howell Mountain Elementary
West Side Union Elementary,Healdsburg,Sonoma County,,96%,4%,0%,0%,4%,4%,4%,4%,4%,11%,16%,5%,26,25,1,0,0,25,25,25,25,25,100%,1,"38.587113,-122.99898",642270,West Side Elementary
Saint Helena Unified,St. Helena,Napa County,,84%,9%,0%,8%,14%,11%,14%,9%,8%,10%,40%,3%,80,67,7,0,6,69,71,69,73,74,100%,1,"38.595489,-122.319958",637830,Saint Helena Primary
Folsom-Cordova Unified,Folsom,Sacramento County,,91%,2%,0%,7%,8%,7%,8%,7%,7%,15%,33%,7%,1580,1444,29,3,104,1456,1462,1458,1465,1472,100%,20,"38.61748,-121.184599",613890,"Sandra J. Gallardo Elementary,Folsom Cordova K-8 Community Charter,Navigator Elementary,Russell Ranch Elementary,Blanche Sprentz Elementary,Cordova Gardens Elementary,Cordova Meadows Elementary,Cordova Villa Elementary,Mather Heights Elementary,Peter J. Shields Elementary,Rancho Cordova Elementary,Theodore Judah Elementary,White Rock Elementary,Williamson Elementary,Carl H. Sundahl Elementary,Oak Chan Elementary,Folsom Hills Elementary,Natoma Station Elementary,Gold Ridge Elementary,Empire Oaks Elementary"
Alpine County Unified,Markleeville,Alpine County,,83%,8%,0%,8%,17%,17%,17%,17%,17%,23%,54%,2%,12,10,1,0,1,10,10,10,10,10,100%,1,"38.621783,-119.798352",602070,Diamond Valley Elementary
Mother Lode Union Elementary,Placerville,El Dorado County,,93%,2%,0%,5%,6%,6%,5%,5%,5%,16%,49%,7%,131,122,2,0,7,123,123,124,124,124,100%,1,"38.632532,-120.844015",625980,Indian Creek Elementary
Calistoga Joint Unified,Calistoga,Napa County,,89%,7%,0%,4%,11%,11%,6%,6%,6%,11%,64%,5%,72,64,5,0,3,64,64,68,68,68,100%,1,"38.634822,-122.615051",607020,Calistoga Elementary
Healdsburg Unified,Healdsburg,Sonoma County,,88%,5%,1%,6%,11%,10%,10%,7%,7%,14%,61%,8%,152,134,8,1,9,135,137,137,141,141,100%,2,"38.637385,-122.88846",600044,"Healdsburg Charter,Healdsburg Elementary"
Buckeye Union Elementary,El Dorado Hills,El Dorado County,,85%,6%,0%,9%,14%,14%,14%,10%,10%,6%,12%,4%,530,451,31,0,48,458,457,456,475,479,100%,7,"38.646997,-120.967815",606270,"Oak Meadow Elementary,Charter Montessori Blue Oak Campus,California Montessori Project-Shingle Springs Campus,Buckeye Elementary,William Brooks Elementary,Blue Oak Elementary,Silva Valley Elementary"
San Juan Unified,Carmichael,Sacramento County,,71%,19%,0%,10%,27%,25%,27%,13%,12%,23%,46%,9%,3557,2510,693,2,352,2605,2685,2601,3077,3117,100%,47,"38.647441,-121.306336",634620,"California Montessori Project-San Juan Campus,Golden Valley Charter School Of Sacramento,Aspire Alexander Twilight College Preparatory Academy,Gateway International,Visions In Education,Arlington Heights Elementary,Cameron Ranch Elementary,Carmichael Elementary,Citrus Heights Elementary,Cottage Elementary,James R. Cowan Fundamental Elementary,Coyle Avenue Elementary,Del Dayo Elementary,Del Paso Manor Elementary,Mary Deterding Elementary,Harry Dewey Fundamental Elementary,Dyer-Kelly Elementary,Thomas Edison Language Institute,Grand Oaks Elementary,Green Oaks Fundamental Elementary,Greer Elementary,Howe Avenue Elementary,Thomas Kelly Elementary,Kingswood Elementary,Earl Legette Elementary,Lichen K-8,Mariemont Elementary,Mariposa Avenue Elementary,Mission Avenue Open Elementary,Northridge Elementary,Oakview Community Elementary,Orangevale Open K-8,Pasadena Avenue Elementary,Charles Peck Elementary,Pershing Elementary,Albert Schweitzer Elementary,Sierra Oaks K-8,Skycrest Elementary,Starr King K-8,Twin Lakes Elementary,Whitney Avenue Elementary,Cambridge Heights Elementary,Woodside K-8,Trajan Elementary,Carriage Drive Elementary,Ottomon Way Elementary,Gold River Discovery Center K-8"
Robla Elementary,Sacramento,Sacramento County,,94%,5%,0%,1%,6%,4%,5%,2%,1%,35%,82%,16%,337,316,17,0,4,317,323,320,330,332,100%,5,"38.655109,-121.447322",633240,"Bell Avenue Elementary,Main Avenue Elementary,Robla Elementary,Taylor Street Elementary,Glenwood Elementary"
Kashia Elementary,Stewarts Point,Sonoma County,,,,,,,,,,,22%,86%,14%,,,,,,,,,,,0%,1,"38.656578,-123.338968",632340,Kashia Elementary
Natomas Unified,Sacramento,Sacramento County,,83%,14%,1%,3%,14%,12%,15%,7%,6%,18%,38%,8%,1119,929,153,6,31,962,982,953,1045,1054,100%,10,"38.667074,-121.567169",600036,"Witter Ranch Elementary,Westlake Charter,Heron,H. Allen Hight Elementary,Natomas Charter,American Lakes Elementary,Jefferson Elementary,Bannon Creek Elementary,Natomas Park Elementary,Two Rivers Elementary"
Twin Rivers Unified,Mcclellan,Sacramento County,,84%,7%,0%,9%,15%,13%,14%,11%,10%,36%,79%,21%,2613,2191,193,5,224,2231,2264,2249,2320,2355,94%,34,"38.6728,-121.384222",601332,"Community Outreach Academy,Regency Park Elementary,Heritage Peak Charter,Creative Connections Arts Academy,Community Collaborative Charter,Higher Learning Academy,Del Paso Heights Elementary,Fairbanks Elementary,Garden Valley Elementary,Morey Avenue Early Childhood Development,Smythe Academy Of Arts And Sciences,D. W. Babcock Elementary,Hagginwood Elementary,Hazel Strauch Elementary,Michael J. Castori Elementary,Noralto Elementary,Northwood Elementary,Woodlake Elementary,Warren A. Allison Elementary,Dry Creek Elementary,Frontier Elementary,Frederick Joyce Elementary,Hillsdale Elementary,Kohler Elementary,Madison Elementary,Oakdale Elementary,Orchard Elementary,Pioneer Elementary,Sierra View Elementary,Village Elementary,Westside Elementary,Woodridge Elementary,Ridgepoint Elementary,Foothill Oaks Elementary"
Gold Oak Union Elementary,Placerville,El Dorado County,,68%,23%,0%,10%,27%,27%,31%,15%,13%,8%,38%,3%,62,42,14,0,6,45,45,43,53,54,100%,1,"38.684773,-120.721087",615390,Gold Oak Elementary
Alexander Valley Union Elementary,Healdsburg,Sonoma County,,88%,6%,0%,6%,6%,6%,6%,12%,6%,16%,26%,1%,17,15,1,0,1,16,16,16,15,16,100%,1,"38.686081,-122.792133",601890,Alexander Valley Elementary
Geyserville Unified,Geyserville,Sonoma County,,91%,9%,0%,0%,9%,5%,0%,0%,0%,13%,63%,7%,22,20,2,0,0,20,21,22,22,22,100%,1,"38.693498,-123.121997",615150,Geyserville Elementary
Pollock Pines Elementary,Pollock Pines,El Dorado County,,76%,18%,0%,6%,20%,16%,20%,12%,11%,23%,40%,8%,85,65,15,0,5,68,71,68,75,76,100%,1,"38.698324,-120.271996",631290,Pinewood Elementary
Horicon Elementary,Annapolis,Sonoma County,,90%,10%,0%,0%,10%,10%,10%,10%,10%,4%,76%,0%,10,9,1,0,0,9,9,9,9,9,100%,1,"38.702221,-123.357379",617580,Horicon Elementary
Woodland Joint Unified,Knights Landing,Yolo County,,97%,1%,0%,1%,2%,2%,2%,2%,2%,17%,59%,8%,872,850,9,1,12,851,853,852,855,856,100%,11,"38.720191,-121.771047",643080,"Science & Technology Academy At Knights Landing,Beamer Elementary,Dingle Elementary,Freeman Elementary,Gibson Elementary,Plainfield Elementary,Rhoda Maxwell Elementary,T. L. Whitehead Elementary,Zamora Elementary,Woodland Prairie Elementary,Ramon S. Tafoya Elementary"
El Dorado County Office of Education,El Dorado,El Dorado County,,47%,23%,0%,30%,53%,53%,53%,30%,53%,,20%,,30,14,7,0,9,14,14,14,21,14,100%,2,"38.722023,-120.866814",691006,"Charter Alternative Program (Cap),Special Education"
Rescue Union Elementary,El Dorado Hills,El Dorado County,,89%,1%,0%,10%,10%,10%,11%,10%,10%,5%,12%,2%,409,365,4,0,40,368,368,366,367,369,100%,5,"38.722064,-121.010921",632310,"Lakeview Elementary,Jackson Elementary,Rescue Elementary,Green Valley Elementary,Lake Forest Elementary"
Eureka Union,Granite Bay,Placer County,,83%,7%,0%,11%,16%,15%,17%,14%,13%,7%,10%,2%,309,255,21,0,33,259,264,258,267,269,100%,3,"38.737818,-121.187527",613080,"Greenhills Elementary,Oakhills Elementary,Maidu Elementary"
Elverta Joint Elementary,Elverta,Sacramento County,,85%,10%,0%,5%,15%,15%,15%,15%,5%,25%,72%,5%,20,17,2,0,1,17,17,17,17,19,100%,1,"38.739206,-121.480657",612600,Elverta Elementary
Center Joint Unified,Antelope,Sacramento County,,83%,1%,0%,16%,16%,16%,17%,16%,16%,22%,53%,11%,343,286,2,0,55,287,287,286,288,288,100%,4,"38.741298,-121.402972",607900,"Arthur S. Dudley Elementary,Cyril Spinelli Elementary,Oak Hill Elementary,North Country Elementary"
Dry Creek Joint Elementary,Antelope,Placer County,,87%,2%,0%,10%,11%,11%,12%,11%,11%,13%,26%,5%,685,599,15,0,71,607,608,606,609,611,100%,7,"38.743212,-121.336907",611490,"Barrett Ranch Elementary,Dry Creek Elementary,Heritage Oak Elementary,Antelope Meadows Elementary,Quail Glen Elementary,Olive Grove Elementary,Coyote Ridge Elementary"
Middletown Unified,Middletown,Lake County,,83%,3%,0%,14%,17%,16%,17%,15%,15%,21%,43%,10%,142,118,4,0,20,118,119,118,120,120,100%,4,"38.773791,-122.607165",624750,"Lake County International Charter,Minnie Cannon Elementary,Cobb Mountain Elementary,Coyote Valley Elementary"
Roseville City Elementary,Roseville,Placer County,,93%,5%,0%,1%,6%,5%,6%,3%,2%,12%,23%,7%,1196,1114,63,3,16,1130,1139,1128,1159,1170,100%,14,"38.783999,-121.336132",633600,"Thomas Jefferson Elementary,Blue Oaks Elementary,Junction Elementary,Fiddyment Farm,Diamond Creek Elementary,Stoneridge Elementary,George Cirby Elementary,Crestmont Elementary,William Kaseberg Elementary,Bradford Woodbridge Fundamental Elementary,George Sargeant Elementary,Ferris Spanger Elementary,Vencil Brown Elementary,Catheryn Gates Elementary"
Gold Trail Union Elementary,Placerville,El Dorado County,,88%,6%,0%,6%,6%,6%,12%,6%,7%,11%,20%,4%,81,71,5,0,5,76,76,71,76,75,100%,1,"38.784385,-120.917135",615450,Sutters Mill
Cloverdale Unified,Cloverdale,Sonoma County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,12%,58%,5%,114,109,0,0,5,109,109,109,109,109,100%,1,"38.788008,-123.029348",608970,Jefferson Elementary
Placerville Union Elementary,Placerville,El Dorado County,,76%,23%,0%,1%,19%,16%,18%,5%,4%,19%,45%,9%,170,129,39,0,2,138,142,139,161,164,100%,2,"38.791675,-120.745761",630780,"Louisiana Schnell Elementary,Sierra Elementary"
Rocklin Unified,Rocklin,Placer County,,83%,8%,0%,8%,15%,13%,14%,11%,10%,10%,14%,6%,873,727,72,1,73,741,760,750,781,783,100%,14,"38.808041,-121.250365",600013,"Ruhkala Elementary,Rocklin Academy At Meyers Street,Maria Montessori Charter Academy,Sunset Ranch Elementary,Parker Whitney Elementary,Rocklin Elementary,Cobblestone Elementary,Antelope Creek Elementary,Breen Elementary,Twin Oaks Elementary,Rocklin Academy,Valley View Elementary,Sierra Elementary,Rock Creek Elementary"
Pleasant Grove Joint Union,Pleasant Grove,Sutter County,,92%,4%,0%,4%,8%,8%,8%,4%,8%,11%,32%,1%,25,23,1,0,1,23,23,23,24,23,100%,1,"38.816922,-121.49444",630900,Pleasant Grove
Camino Union Elementary,Camino,El Dorado County,,52%,43%,0%,5%,43%,25%,44%,18%,20%,14%,47%,4%,61,32,26,0,3,35,46,34,50,49,100%,1,"38.826597,-120.626986",607170,Camino Elementary
Esparto Unified,Esparto,Yolo County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,15%,60%,6%,80,77,0,0,3,77,77,77,77,77,100%,1,"38.830465,-122.126907",612930,Esparto K-8
Loomis Union Elementary,Loomis,Placer County,,86%,4%,0%,11%,14%,13%,14%,13%,11%,9%,12%,4%,383,328,14,0,41,331,333,330,335,340,100%,8,"38.830725,-121.162107",622560,"Loomis Basin Charter,John Adams Academy,Franklin Elementary,Loomis Elementary,Placer Elementary,Ophir Elementary,Penryn Elementary,H. Clarke Powers Elementary"
Arena Union Elementary,Point Arena,Mendocino County,,91%,9%,0%,0%,9%,9%,9%,0%,0%,27%,68%,6%,23,21,2,0,0,21,21,21,23,23,100%,1,"38.855501,-123.571424",603090,Arena Elementary
Marcum-Illinois Union Elementary,Placerville,Sutter County,,47%,0%,0%,53%,53%,53%,53%,53%,53%,15%,36%,4%,153,72,0,0,81,72,72,72,72,72,100%,2,"38.858474,-121.567125",623800,"South Sutter Charter,Marcum-Illinois Union Elementary"
Lake Tahoe Unified,South Lake Tahoe,El Dorado County,,80%,7%,2%,11%,17%,17%,18%,15%,14%,21%,53%,10%,388,309,28,8,43,322,322,318,331,332,100%,4,"38.869768,-120.028034",620640,"Lake Tahoe Environmental Science Magnet,Bijou Community,Tahoe Valley Elementary,Sierra House Elementary"
Newcastle Elementary,Newcastle,Placer County,,77%,7%,0%,16%,22%,23%,22%,16%,16%,18%,8%,7%,128,99,9,0,20,100,99,100,107,107,100%,3,"38.875585,-121.144747",627120,"Newcastle Charter,Creekside Cooperative Charter,Harvest Ridge Cooperative Charter"
Nevada County Office of Education,Nevada City,Nevada County,,28%,6%,0%,67%,72%,72%,72%,69%,69%,,33%,,127,35,7,0,85,36,36,35,39,39,100%,5,"38.906426,-121.081317",691023,"Yuba River Charter,Nevada City School Of The Arts,Sierra Montessori Academy,Forest Charter,Twin Ridges Home Study Charter"
Black Oak Mine Unified,Georgetown,El Dorado County,,73%,12%,2%,12%,26%,24%,27%,19%,14%,9%,38%,4%,97,71,12,2,12,72,74,71,79,83,100%,3,"38.912766,-120.634853",605240,"American River Charter,Georgetown Elementary,Northside Elementary"
Kelseyville Unified,Kelseyville,Lake County,,93%,3%,1%,3%,4%,4%,5%,5%,4%,29%,71%,12%,134,125,4,1,4,128,129,127,127,129,100%,2,"38.922131,-122.789559",619320,"Kelseyville Elementary,Riviera Elementary"
Western Placer Unified,Lincoln,Placer County,,84%,4%,1%,11%,16%,15%,15%,13%,13%,13%,27%,6%,740,623,33,5,79,625,630,629,643,642,100%,9,"38.936145,-121.303289",642140,"Twelve Bridges Elementary,Foskett Ranch Elementary,Lincoln Crossing Elementary,Partnerships For Student-Centered Learning,Horizon Charter,Sheridan,Carlin C. Coppin Elementary,Creekside Oaks Elementary,First Street"
Ackerman Charter,Auburn,Placer County,,87%,11%,0%,1%,8%,11%,6%,3%,1%,13%,19%,10%,71,62,8,0,1,65,63,67,69,70,100%,1,"38.936632,-121.050782",601680,Bowman Charter
Auburn Union Elementary,Auburn,Placer County,,84%,11%,0%,5%,13%,12%,15%,8%,7%,16%,54%,7%,243,204,27,0,12,212,214,206,223,227,100%,4,"38.938897,-121.122341",603480,"Alta Vista Community Charter,Rock Creek Elementary,Skyridge Elementary,Auburn Elementary"
Browns Elementary,Rio Oso,Sutter County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,23%,44%,8%,19,19,0,0,0,19,19,19,19,19,100%,1,"38.956091,-121.481205",606100,Browns Elementary
Winship-Robbins,Robbins,Sutter County,,96%,4%,0%,0%,4%,4%,4%,0%,4%,39%,76%,27%,23,22,1,0,0,22,22,22,23,22,100%,1,"38.975616,-121.759587",642900,Robbins Elementary
Konocti Unified,Clearlake,Lake County,,84%,15%,0%,1%,13%,12%,13%,4%,5%,37%,83%,25%,309,260,47,0,2,270,273,270,296,295,100%,4,"38.977776,-122.557972",620070,"Burns Valley,East Lake,Lower Lake Elementary,Pomo"
Pierce Joint Unified,Arbuckle,Colusa County,,99%,1%,0%,0%,1%,1%,1%,0%,0%,20%,58%,18%,115,114,1,0,0,114,114,114,115,115,100%,2,"38.981747,-122.047602",630360,"Arbuckle Elementary,Grand Island Elementary"
Anderson Valley Unified,Boonville,Mendocino County,,79%,21%,0%,0%,21%,16%,14%,9%,0%,36%,73%,19%,43,34,9,0,0,34,36,37,39,43,100%,1,"38.991786,-123.361557",602730,Anderson Valley Elementary
Placer Hills Union Elementary,Meadow Vista,Placer County,,96%,0%,0%,4%,4%,4%,4%,4%,4%,7%,29%,5%,94,90,0,0,4,90,90,90,90,90,100%,1,"39.009155,-120.994857",630720,Sierra Hills Elementary
Plumas Lake Elementary,Plumas Lake,Yuba County,,97%,1%,0%,2%,3%,3%,3%,3%,3%,16%,25%,5%,167,162,2,0,3,162,162,162,162,162,100%,2,"39.02011,-121.531782",631180,"Rio Del Oro Elementary,Cobblestone Elementary"
Sutter County Office of Education,Yuba City,Sutter County,,87%,4%,0%,9%,13%,9%,9%,9%,9%,,59%,,23,20,1,0,2,20,21,21,21,21,100%,1,"39.021976,-121.673937",691042,Sutter County Special Education
Yuba City Unified,Yuba City,Sutter County,,97%,1%,0%,2%,2%,2%,2%,2%,2%,23%,61%,13%,1108,1077,13,1,17,1085,1089,1081,1087,1089,100%,14,"39.034225,-121.663313",643470,"Andros Karperos,Twin Rivers Charter,Riverbend Elementary,Yuba City Charter,April Lane Elementary,Barry Elementary,Bridge Street Elementary,Central Gaither Elementary,King Avenue Elementary,Lincoln Elementary,Lincrest Elementary,Park Avenue Elementary,Tierra Buena Elementary,Butte Vista Elementary"
Lakeport Unified,Lakeport,Lake County,,91%,9%,0%,0%,7%,6%,7%,3%,3%,25%,53%,11%,117,106,11,0,0,109,110,109,113,113,100%,1,"39.057324,-122.968509",620670,Lakeport Elementary
Pleasant Ridge Union Elementary,Grass Valley,Nevada County,,80%,11%,0%,9%,13%,16%,16%,9%,17%,12%,27%,4%,116,93,13,0,10,101,98,97,106,96,100%,2,"39.062543,-121.107721",630930,"Cottage Hill Elementary,Alta Sierra Elementary"
Foresthill Union Elementary,Foresthill,Placer County,,86%,9%,0%,6%,14%,14%,14%,9%,11%,29%,34%,10%,35,30,3,0,2,30,30,30,32,31,100%,1,"39.082805,-120.564042",613980,Foresthill Divide School
Lucerne Elementary,Lucerne,Lake County,,79%,6%,0%,15%,21%,18%,21%,15%,15%,50%,77%,20%,34,27,2,0,5,27,28,27,29,29,100%,1,"39.090779,-122.785045",623040,Lucerne Elementary
Placer County Office of Education,Newcastle,Placer County,,,,,,,,,,,,79%,,,,,,,,,,,,0%,3,"39.091575,-120.803947",691025,"Sierra Vista,Placer County Court Schools,Placer County Community Schools"
Ukiah Unified,Ukiah,Mendocino County,,91%,3%,0%,5%,8%,7%,7%,6%,6%,33%,68%,16%,548,500,16,2,30,505,508,508,513,515,78%,9,"39.104485,-123.191232",640300,"Grace Hudson Elementary,River Oak Charter,Ukiah Independent Study Academy,Calpella Elementary,Frank Zeek Elementary,Nokomis Elementary,Oak Manor Elementary,Yokayo Elementary,Tree Of Life Charter"
Wheatland,Beale Air Force Base,Yuba County,,97%,2%,0%,1%,2%,1%,2%,1%,1%,31%,25%,12%,201,195,4,0,2,196,198,196,199,199,100%,3,"39.106099,-121.36818",642330,"Lone Tree Elementary,Wheatland Elementary,Wheatland Charter Academy"
Colfax Elementary,Colfax,Placer County,,87%,0%,0%,13%,13%,13%,13%,13%,13%,15%,36%,8%,55,48,0,0,7,48,48,48,48,48,100%,2,"39.111833,-120.877969",609300,"Core Placer Charter,Colfax Elementary"
Franklin Elementary,Yuba City,Sutter County,,91%,9%,0%,0%,4%,4%,6%,2%,2%,20%,20%,9%,47,43,4,0,0,45,45,44,46,46,100%,1,"39.119533,-121.708145",614340,Franklin Elementary
Clear Creek Elementary,Grass Valley,Nevada County,,76%,5%,0%,19%,24%,24%,24%,24%,19%,14%,29%,6%,21,16,1,0,4,16,16,16,16,17,100%,1,"39.120098,-121.168127",608880,Clear Creek Elementary
Mendocino County Office of Education,Ukiah,Mendocino County,,,,,,,,,,,,100%,,,,,,,,,,,,0%,1,"39.129633,-123.164914",691019,Orr Creek
Williams Unified,Williams,Colusa County,,99%,0%,0%,1%,1%,1%,1%,1%,1%,16%,69%,9%,122,121,0,0,1,121,121,121,121,121,100%,1,"39.13466,-122.261692",642540,Williams Primary Elementary
Chicago Park Elementary,Grass Valley,Nevada County,,83%,0%,0%,17%,17%,17%,17%,17%,17%,16%,24%,10%,12,10,0,0,2,10,10,10,10,10,100%,1,"39.141434,-120.974568",608340,Chicago Park Elementary
Yuba County Office of Education,Marysville,Yuba County,,80%,20%,0%,0%,20%,20%,0%,10%,0%,,57%,,10,8,2,0,0,8,8,10,9,10,100%,1,"39.150036,-121.598406",691048,Yuba County Special Education
