School District Name,City,County,,Up to date with vaccinations - Percentage,Conditional vaccination status - Percentage,Permanent Medical Exemption - Percentage,Personal Belief Exemption - Percentage,"Without Diphtheria, Tetanus, Pertussis - Percentage",Without Polio - Percentage,"Without Measles, Mumps, Rubella - Percentage",Without Hepatitis B - Percentage,Without Varicella - Percentage,Children 5-17 in poverty - Percentage,Free/Reduced Price Meal Count K-12  - Percentage,Families with income below poverty level - Percentage,Enrolled students,Up to date with vaccinations,Conditional vaccination status,Permanent Medical Exemption,Personal Belief Exemption,"Diphtheria, Tetanus, Pertussis",Polio,"Measles, Mumps, Rubella",Hepatitis B,Varicella,Schools who reported (%),Total Schools,Coordinates,School District ID,Schools
North Monterey County Unified,Castroville,Monterey County,,97%,1%,0%,1%,3%,2%,2%,1%,1%,24%,67%,10%,375,365,5,0,5,365,368,366,370,370,100%,4,"36.77982,-121.727673",627590,"Castroville Elementary,Echo Valley Elementary,Elkhorn Elementary,Prunedale Elementary"
Lagunita Elementary,Salinas,Monterey County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,14%,11%,4%,10,10,0,0,0,10,10,10,10,10,100%,1,"36.787296,-121.58901",620490,Lagunita Elementary
Tres Pinos Union Elementary,Tres Pinos,San Benito County,,100%,0%,0%,0%,0%,0%,0%,0%,0%,8%,18%,3%,11,11,0,0,0,11,11,11,11,11,100%,1,"36.790613,-121.165004",639690,Tres Pinos Elementary
Hollister,Hollister,San Benito County,,98%,1%,0%,1%,2%,1%,2%,1%,1%,16%,59%,11%,687,671,10,0,6,676,680,676,679,679,100%,8,"36.832054,-121.398738",617340,"Hollister Dual Language Academy,Hollister Prep,Ladd Lane Elementary,R O Hardin Elementary,Sunnyslope Elementary,Calaveras Elementary,Cerra Vista Elementary,Gabilan Hills"
Dos Palos Oro Loma Joint Unified,Dos Palos,Merced County,,98%,1%,0%,1%,2%,2%,2%,1%,1%,44%,80%,29%,213,208,2,1,2,209,209,208,210,210,100%,1,"36.842453,-120.690207",600033,Dos Palos Elementary
Aromas/San Juan Unified,San Juan Bautista,San Benito County,,93%,6%,0%,1%,7%,7%,7%,4%,4%,10%,58%,9%,82,76,5,0,1,76,76,76,79,79,100%,2,"36.851298,-121.521308",691136,"San Juan Elementary,Aromas Elementary"
Firebaugh-Las Deltas Unified,Firebaugh,Fresno County,,97%,3%,0%,0%,3%,3%,3%,0%,0%,43%,88%,28%,221,214,7,0,0,214,214,214,221,221,100%,1,"36.854848,-120.436154",613840,Hazel M. Bailey Primary
Clovis Unified,Fresno,Fresno County,,94%,2%,0%,3%,5%,5%,5%,4%,4%,16%,36%,8%,3361,3168,79,2,112,3179,3192,3198,3228,3230,100%,32,"36.879283,-119.624315",609030,"James S. Fugman Elementary,Woods (Harold L.) Elementary,Reagan Elementary,Bud Rank Elementary,Roger S. Oraze Elementary,Cole Elementary,Dry Creek Elementary,Fort Washington Elementary,Jefferson Elementary,Nelson Elementary,Sierra Vista Elementary,Tarpey Elementary,Temperance-Kutner Elementary,Weldon Elementary,Miramonte Elementary,Lincoln Elementary,Cox Elementary,Mountain View Elementary,Gettysburg Elementary,Fancher Creek Elementary,Valley Oak Elementary,Pinedale Elementary,Red Bank Elementary,Liberty Elementary,Garfield Elementary,Maple Creek Elementary,Cedarwood Elementary,Copper Hills Elementary,Clovis Elementary,Century Elementary,Riverview Elementary,Freedom Elementary"
North County Joint Union Elementary,Hollister,San Benito County,,89%,9%,1%,0%,11%,11%,11%,3%,1%,17%,40%,12%,74,66,7,1,0,66,66,66,72,73,100%,1,"36.925173,-121.370926",627480,Spring Grove Elementary
Golden Valley Unified,Madera,Madera County,,88%,9%,0%,3%,8%,4%,10%,5%,3%,14%,31%,3%,176,155,15,0,6,162,169,159,168,170,100%,2,"36.92884,-119.84298",600068,"Webster Elementary,Sierra View Elementary"
